,0
1065,Budha Jayanti Park
1066,Jhilmil Colony Mkt
1067,Digamber Jain Marg
1068,DDU Marg
1069,Ranjeet Hotel
1070,Mata Sundari College
1071,Kothi No 26
1072,Mayur Vihar Pkt   A
1073,Noida Sec  21  25
1074,West Vinod Nagar
1075,R K Puram Xing
1076,R K Puram Corner
1077,R K  Puram Sec  7 X  ing
1078,Nanak Pura Community Center
1079,Mohan Singh Market
1080,Rk Puram Sec  12
1081,Safdarjang Hospital
1082,AIIMS
1083,Ina Colony
1084,S J  Madrasa
1085,IIT Gate
1086,Green Park
1087,Central School
1088,INA Market
1089,South Extn
1090,K N College
1091,Kamal Cinema
1092,Defence Colony
1093,Moolchand Hospital
1094,Garhi
1095,Lsr College
1096,Garhi Village
1097,Kailash Colony
1098,Raj Nagar
1099,Noida Up Roadways Terminal
1100,Vasant Kunj B  3
1101,Kishangarh
1102,Manav Sthali
1103,Vasant Kunj   D P S   
1104,Poorvi Marg
1105,Baba Gang Nath Xing
1106,Munirka Dda
1107,R K Puram Sec  4
1108,R K  Puram Sec   2
1109,Safdarjang Airport
1110,Sarojini Nagar Market
1111,Mausam Bhavan
1112,Prithviraj Road
1113,Tuglak Road Police Station
1114,Shiv Puri
1115,Ujawa School
1116,B B M Depot
1117,Indira Vihar
1118,Panchsheel Club
1119,Swami Nagar
1120,Jia Sarai
1121,J & K Emporium
1122,Nirman Bhawan
1123,Modern School
1124,Vasant Vihar CPWD Cly
1125,IIT Hostel
1126,Jnu
1127,Sewa Ngr Rly Xing
1128,Road Bridge Xing
1129,Noida Sec  36
1130,Noida Sec  40
1131,Noida Degree College
1132,U P  Road Ways Bus Terminal Xing
1133,Gamri Extn   Pushta No  5  
1134,Noida Sec  30
1135,Noida Sec  34 S Blk
1136,Mayur Vihar Phase  II
1137,Chander Nagar
1138,Krishnapuri Extention
1139,B  blk Jhilmil Colony
1140,Rohini Sec  4
1141,Shakar Pur School Blk 
1142,Noida Sec  19B
1143,Noida Sec  18
1144,Noida Sect  49  41
1145,Noida Sec  49
1146,Sahni Farm
1147,Sadiq Nagar
1148,Diffence Cly Pant Nagar
1149,Ambedkar Nagar Depot
1150,Lado Sarai Xing
1151,Lal Kuan
1152,Jait Pur More
1153,Link Road
1154,Talkatora Stadium
1155,Madhu Vihar
1156,J M International School
1157,Bharat Sadhu Samaj
1158,11 Murti
1159,Ailway Colony
1160,Dwarka Sec   4&5 Xing
1161,SPG Complex
1162,Dwarka Sec  18
1163,gamma
1164,Dwarka Sec  10 Trml 
1165,Dwarka Metro Station Sec  14
